"source","commit","blob","source_sha256","dest","dest_sha256_at_import","treatment","note"
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link4.stl","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","76c8c33c3e1e6c184f8c3693b390892c25b179e3","0180ebb5772ec9840cb049750cffb29a9ddc90311752a16ea34757782ef9e48d","assets/mjcf/panda/assets/link4.stl","0180ebb5772ec9840cb049750cffb29a9ddc90311752a16ea34757782ef9e48d","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link4_0.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","d497e1d381adb44779b39d0273d3ee3e27eb2d3a","443bf6d178177cf347951ecf107ccd10ca444e605e375b67304579e5f948806f","assets/mjcf/panda/assets/link4_0.obj","443bf6d178177cf347951ecf107ccd10ca444e605e375b67304579e5f948806f","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link4_1.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","32d853f4dc53639324923eadfd6eca1c0c101350","ca935ec7cc8b3f0e86aa079c76b0b3bf593b1e9830bab0fa7131ac51577c74f0","assets/mjcf/panda/assets/link4_1.obj","ca935ec7cc8b3f0e86aa079c76b0b3bf593b1e9830bab0fa7131ac51577c74f0","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link4_2.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","77b8a6d245b45955ecea73c18c80fffb977f23f6","c89caf26d379c35bb9e191ee2d91d09ab29ecc792b48d8bc10b39e5b38222175","assets/mjcf/panda/assets/link4_2.obj","c89caf26d379c35bb9e191ee2d91d09ab29ecc792b48d8bc10b39e5b38222175","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link4_3.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","5f46aea8f9520cc60387d94fadc241a544de1ec7","1495d17f45bdb230cf58b0beef9da4e8c9cfe76a3d2d38da89017efe5e093136","assets/mjcf/panda/assets/link4_3.obj","1495d17f45bdb230cf58b0beef9da4e8c9cfe76a3d2d38da89017efe5e093136","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link5_0.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","b81d9466e2c535ab2c8e1a4d665d3e2d361eedbe","a3238b8f2af0f2eb66d9fe63dc5d41ac52d5d38507241b5ed10e3cb019ab3e71","assets/mjcf/panda/assets/link5_0.obj","a3238b8f2af0f2eb66d9fe63dc5d41ac52d5d38507241b5ed10e3cb019ab3e71","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link5_1.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","902daf327ca4d9388977bdc1f126e40d70945216","9d994bbf83ec241e301b5197a6846da13f2a4a0582edb2c0f76962c5549649d6","assets/mjcf/panda/assets/link5_1.obj","9d994bbf83ec241e301b5197a6846da13f2a4a0582edb2c0f76962c5549649d6","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link5_2.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","d598fc55e7da0843f957d664d79a6da3416d68c0","83b4ffe9f772cd7fe182e98640650eebc899aaf01842656574b0416c90dd40a4","assets/mjcf/panda/assets/link5_2.obj","83b4ffe9f772cd7fe182e98640650eebc899aaf01842656574b0416c90dd40a4","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link5_collision_0.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","6d6eb5203b88af66dd209f3866755fdaf718b22d","3e5aa75fb13f193555c3dfb999df91d81df25006a5c3af5338297d78137c129b","assets/mjcf/panda/assets/link5_collision_0.obj","3e5aa75fb13f193555c3dfb999df91d81df25006a5c3af5338297d78137c129b","そのまま",""
"pytools/panda_teleop/panda_teleop/assets/panda/assets/link5_collision_1.obj","dbb2c3b4db64c7e6db4a997e087549e67cd776c6","2eeeeea1709d0fe8f5232ee81544b1d520f0f5e1","87cd8f621071df010f774cbde789282b8463840dfe704f8bdfa2e29be0142e15","assets/mjcf/panda/assets/link5_collision_1.obj","87cd8f621071df010f774cbde789282b8463840dfe704f8bdfa2e29be0142e15","そのまま",""
